country,totalConfirmed,totalDeaths,totalRecovered,dailyConfirmed,dailyDeaths,activeCases,totalCritical,lastUpdated
USA,9038030,232084,5877964,0,0,2927982,16761,2020-10-28T04:35:00.000Z
India,7990322,120054,7259509,1469,0,610759,8944,2020-10-28T04:35:00.000Z
Brazil,5440903,157981,4904046,0,0,378876,8318,2020-10-28T04:35:00.000Z
Russia,1547774,26589,1158940,0,0,362245,2300,2020-10-28T04:35:00.000Z
France,1198695,35541,112716,0,0,1050438,2918,2020-10-28T04:35:00.000Z
Spain,1174916,35298,7015,0,0,0,2292,2020-10-28T04:35:00.000Z
Argentina,1116609,29730,921344,0,0,165535,4952,2020-10-28T04:35:00.000Z
Colombia,1033218,30565,932882,0,0,69771,2365,2020-10-28T04:35:00.000Z
UK,917575,45365,135,0,0,0,852,2020-10-28T04:35:00.000Z
Mexico,895326,89171,655118,0,0,151037,2781,2020-10-28T04:35:00.000Z
Peru,892497,34257,814204,0,0,44036,1048,2020-10-28T04:35:00.000Z
South Africa,717851,19053,647833,0,0,50965,546,2020-10-28T04:35:00.000Z
Iran,581824,33299,463611,0,0,84914,4995,2020-10-28T04:35:00.000Z
Italy,564778,37700,271988,0,0,255090,1411,2020-10-28T04:35:00.000Z
Chile,504525,14026,481379,0,0,9120,740,2020-10-28T04:35:00.000Z
Germany,463419,10263,326700,0,0,126456,1470,2020-10-28T04:35:00.000Z
Iraq,459908,10724,388081,0,0,61103,398,2020-10-28T04:35:00.000Z
Bangladesh,401586,5838,318123,0,0,77625,0,2020-10-28T04:35:00.000Z
Indonesia,396454,13512,322248,0,0,60694,0,2020-10-28T04:35:00.000Z
Philippines,373144,7053,328602,0,0,37489,1483,2020-10-28T04:35:00.000Z
Turkey,366208,9950,317519,0,0,38739,1827,2020-10-28T04:35:00.000Z
Ukraine,355601,6590,145336,0,0,203675,177,2020-10-28T04:35:00.000Z
Belgium,347289,11038,23504,13571,139,312747,911,2020-10-28T04:35:00.000Z
Saudi Arabia,345631,5329,332117,0,0,8185,778,2020-10-28T04:35:00.000Z
Pakistan,330200,6759,311814,825,14,11627,611,2020-10-28T04:35:00.000Z
Netherlands,311889,7142,3,0,0,0,546,2020-10-28T04:35:00.000Z
Israel,311724,2483,296656,0,0,12585,467,2020-10-28T04:35:00.000Z
Czechia,284033,2547,111443,0,0,170043,893,2020-10-28T04:35:00.000Z
Poland,280229,4615,119237,0,0,156377,1078,2020-10-28T04:35:00.000Z
Canada,222887,10001,186464,0,0,26422,232,2020-10-28T04:35:00.000Z
Romania,217216,6574,155630,0,0,55012,824,2020-10-28T04:35:00.000Z
Morocco,203733,3445,168706,0,0,31582,766,2020-10-28T04:35:00.000Z
Ecuador,163192,12588,141759,0,0,8845,362,2020-10-28T04:35:00.000Z
Nepal,160400,876,118843,0,0,40681,0,2020-10-28T04:35:00.000Z
Bolivia,141124,8672,109769,172,14,22683,71,2020-10-28T04:35:00.000Z
Qatar,131689,230,128617,0,0,2842,40,2020-10-28T04:35:00.000Z
Panama,130422,2650,106440,0,0,21332,121,2020-10-28T04:35:00.000Z
UAE,127624,482,122458,0,0,4684,0,2020-10-28T04:35:00.000Z
Switzerland,127042,2147,62700,0,0,62195,142,2020-10-28T04:35:00.000Z
Dominican Republic,125008,2226,103324,0,0,19458,181,2020-10-28T04:35:00.000Z
Portugal,124432,2371,72344,0,0,49717,253,2020-10-28T04:35:00.000Z
Kuwait,123092,756,114116,0,0,8220,116,2020-10-28T04:35:00.000Z
Sweden,115785,5918,16,0,0,0,39,2020-10-28T04:35:00.000Z
Oman,113820,1203,99997,0,0,12620,182,2020-10-28T04:35:00.000Z
Kazakhstan,110832,1825,105883,148,0,3124,221,2020-10-28T04:35:00.000Z
Egypt,106877,6222,99084,0,0,1571,41,2020-10-28T04:35:00.000Z
Guatemala,105571,3665,95206,0,0,6700,5,2020-10-28T04:35:00.000Z
Costa Rica,105322,1329,64406,0,0,39587,195,2020-10-28T04:35:00.000Z
Japan,97498,1725,90148,0,0,5625,165,2020-10-28T04:35:00.000Z
Honduras,94623,2639,38833,657,6,53151,25,2020-10-28T04:35:00.000Z
Belarus,94609,965,84237,0,0,9407,0,2020-10-28T04:35:00.000Z
Ethiopia,94218,1445,48968,0,0,43805,314,2020-10-28T04:35:00.000Z
Venezuela,90400,780,84907,0,0,4713,117,2020-10-28T04:35:00.000Z
Austria,86102,1005,60308,0,0,24789,203,2020-10-28T04:35:00.000Z
China,85868,4634,80936,42,0,298,4,2020-10-28T04:35:00.000Z
Bahrain,80765,316,77421,0,0,3028,24,2020-10-28T04:35:00.000Z
Armenia,80410,1222,51814,0,0,27374,0,2020-10-28T04:35:00.000Z
Lebanon,73995,590,36797,0,0,36608,239,2020-10-28T04:35:00.000Z
Moldova,72460,1710,53201,0,0,17549,814,2020-10-28T04:35:00.000Z
Uzbekistan,65881,556,63044,0,0,2281,252,2020-10-28T04:35:00.000Z
Hungary,63642,1535,16646,0,0,45461,243,2020-10-28T04:35:00.000Z
Nigeria,62224,1135,57916,0,0,3173,7,2020-10-28T04:35:00.000Z
Paraguay,60557,1347,40748,0,0,18462,120,2020-10-28T04:35:00.000Z
Jordan,58855,668,7508,0,0,50679,55,2020-10-28T04:35:00.000Z
Ireland,58767,1890,23364,0,0,33513,38,2020-10-28T04:35:00.000Z
Singapore,57980,28,57883,0,0,69,0,2020-10-28T04:35:00.000Z
Libya,57975,812,32253,0,0,24910,0,2020-10-28T04:35:00.000Z
Kyrgyzstan,56738,1136,48223,0,0,7379,24,2020-10-28T04:35:00.000Z
Algeria,56706,1931,39444,0,0,15331,29,2020-10-28T04:35:00.000Z
Tunisia,52399,983,5032,0,0,46384,213,2020-10-28T04:35:00.000Z
Palestine,51528,458,44444,0,0,6626,0,2020-10-28T04:35:00.000Z
Azerbaijan,51149,688,41693,0,0,8768,0,2020-10-28T04:35:00.000Z
Kenya,50833,934,34832,0,0,15067,18,2020-10-28T04:35:00.000Z
Ghana,47775,316,46971,0,0,488,9,2020-10-28T04:35:00.000Z
Myanmar,47666,1147,27373,0,0,19146,0,2020-10-28T04:35:00.000Z
Slovakia,46056,176,11008,0,0,34872,89,2020-10-28T04:35:00.000Z
Bosnia and Herzegovina,43151,1125,26903,0,0,15123,0,2020-10-28T04:35:00.000Z
Bulgaria,42701,1161,18943,0,0,22597,145,2020-10-28T04:35:00.000Z
Denmark,42157,709,32697,0,0,8751,19,2020-10-28T04:35:00.000Z
Afghanistan,41032,1523,34217,0,0,5292,93,2020-10-28T04:35:00.000Z
Serbia,40880,798,31536,0,0,8546,38,2020-10-28T04:35:00.000Z
Croatia,38621,470,26840,0,0,11311,57,2020-10-28T04:35:00.000Z
